id,price,description,category,code,href
0,1070,a woman wearing a yellow skirt with a white top and black shoes,skirt,Berrylush Yellow & Black Printed A-Line Midi Skirt,https://www.myntra.com/skirts/berrylush/berrylush-yellow--black-printed-a-line-midi-skirt/11334624/buy
1,1312,none,none,none,none
2,3432,a little girl wearing a skirt with pink polka dots,skirt,Uptownie Lite Girls Black & Pink Printed Accordian Pleated Flared Knee-Length Skirt,https://www.myntra.com/skirts/uptownie%2blite/uptownie-lite-girls-black--pink-printed-accordian-pleated-flared-knee-length-skirt/16608122/buy
3,3748,a woman wearing a red and white printed kurta,kurt,Varanga Women Leheriya Striped Cotton Gotta Patti Kurta,https://www.myntra.com/kurtas/varanga/varanga-women-leheriya-striped-cotton-gotta-patti-kurta/24556520/buy
4,1740,a woman wearing a black and white jacket,jacket,Belle Fille Women Black & Orange Colourblocked Hooded Sweatshirt,https://www.myntra.com/sweatshirts/belle%2bfille/belle-fille-women-black--orange-colourblocked-hooded-sweatshirt/10320069/buy
5,1823,a woman in grey shorts and black top,shorts,Puma Women Pure Cotton High-Rise Outdoor Sports Sustainable Shorts,Buy Puma Women Pure Cotton High Rise Outdoor Sports Sustainable Shorts - Shorts for Women 22797614 | Myntra
6,4872,a woman in a black lehenga choli standing against a yellow wall,dress,Indo Era Embroidered Patchwork Ready to Wear Lehenga & Choli,https://www.myntra.com/lehenga-choli/indo%2bera/indo-era-embroidered-patchwork-ready-to-wear-lehenga--choli/24703970/buy
7,835,a woman in a floral top and jeans,top,SASSAFRAS Women Blue Flared Fit High-Rise Jeans,https://www.myntra.com/bottomwear/sassafras/sassafras-women-blue-flared-fit-high-rise-jeans/16990010/buy
8,3642,a woman wearing a yellow cropped crop top,top,Mast & Harbour Mustard Yellow Self-Design 90's Hollaback Scoop Neck It Is Ribbed Top,https://www.myntra.com/topwear/mast-&-harbour/mast-&-harbour-mustard-yellow-self-design-90's-hollaback-scoop-neck-it-is-ribbed-top/21258448/buy
9,720,a woman in a black skirt and heels,heels,,
10,4831,a woman in a pink dress and hat sitting on a chair,dress,,
11,3695,the velvet pant in purple,,,
12,4986,a woman wearing a red and green scarf,,,
13,2475,maroon embroidered top,top,,
14,4776,a woman in a black top and blue se se se se se se se se se se se,top,,
15,2720,a woman sitting on a chair in a room,,,
16,3847,a woman wearing a red plaid skirt,skirt,,
17,1094,a woman wearing a black leather jacket and shorts,jacket,,
18,3585,a pink jacket with a white shirt underneath,shirt,,
19,4113,a woman in a blue shirt and shorts,shirt,,
20,1638,a woman wearing a white tank top and blue floral print skirt,skirt,,
21,4958,a woman wearing a grey jacket with embroidered flowers on the back,jacket,,
22,4970,a woman in a black top and yellow shorts,shorts,,
23,2271,a woman in a pink sari sari,sari,,
24,4989,a woman in a white shirt and blue denim shorts,shirt,,
25,3070,a woman in a skirt and top with a purse,skirt,,
26,3547,a woman in a white and blue floral print dress,dress,,
27,3352,beige colored embroidered suit with dupa,suit,,
28,4644,a little girl wearing a green and pink leli,leli,,
29,545,a woman wearing a green kurti kurti kurti,kurti,,
30,1129,a woman in an orange top and orange pants,coord,,
31,1464,a woman sitting on a white surface wearing a pink sweatshirt with the word'love'printed on,shirt,,
32,970,a woman wearing a mustard colored vest,vest,,
33,1538,a woman wearing a green hoodie with white letters on the side,hoodie,,
34,4277,black printed sari sari,sari,,
35,947,a woman sitting on a chair holding a bouquet,,,
36,3162,a woman wearing a white top and black floral skirt,skirt,,
37,1926,navy blue crop top with gold polka print,top,,
38,589,a woman in a white top and blue pants,top,,
39,3894,a woman wearing a red skirt with a floral pattern,skirt,,
40,4228,a woman in pink jeans and white sneakers,jeans,,
41,2895,a woman in a white top and orange skirt,skirt,,
42,4111,a woman wearing a mustard colored puffer jacket,jacket,,
43,4621,a woman in a purple tie dye jumpsuit,jumpsuit,,
44,956,a woman in a black shirt and jeans,shirt,,
45,1839,a model wearing a pink crop top with a cropped crop top,top,,
46,3711,a woman wearing a black pants with red flowers on it,,,
47,4806,a woman in a white top and jeans,top,,
48,3860,a woman wearing a green satin dress,dress,,
49,2166,a blue skirt with orange crop top and orange crop top,skirt,,
50,2475,navy blue printed sari sari sari,sari,,
51,2807,a woman in a white shirt and maroon shorts,shirt,,
52,1584,a woman wearing a white top with one shoulder and one shoulder,top,,
53,3034,a woman wearing a white and yellow floral print skirt,skirt,,
54,2462,a woman in a pink dress and balloons,dress,,
55,4229,a woman wearing a pink and orange shawr,shaw,,
56,1815,orange and mustard yellow handloom cotton dupa saree,dupa,,
57,1009,a young girl wearing a sweater and green pants,sweater,,
58,609,grey and pink lera with floral print,lera,,
59,3093,a woman in a green and yellow sari sari,sari,,
60,4814,a woman in a pink top and black jeans,top,,
61,909,a woman wearing an orange skirt with a blue top and black pants,skirt,,
62,2050,a woman wearing black pants with stud detailing,,,
63,1310,a blue and gold embroidered sari with a gold border,sari,,
64,2015,a woman wearing a colorful sweater and sunglasses,sweater,,
65,4856,a woman in a black and blue floral print tank top and leggings,top,,
66,2678,the red leather sling sling sling sling sling sling sling sling sling sling sling sling sling sling sling sling,sling,,
67,4954,a woman wearing a pink jumpsuit with gold embroidered sleeves and a gold embroidered top,jumpsuit,,
68,3293,a woman wearing white pants with floral embroidery,,,
69,918,a woman wearing a white top and grey pants,top,,
70,3161,a woman wearing a white and black printed shawl,shawl,,
71,1619,a woman in a black top and green skirt,skirt,,
72,3879,a woman wearing a jacket and sunglasses,jacket,,
73,802,a woman wearing a white and black sari,sari,,
74,1298,a woman in a green dress with a flower pattern,dress,,
75,3236,pink and white embroidered kurti suit,kurti,,
76,2690,a woman in a tank top and white shorts,shorts,,
77,3239,a woman in a yellow dress with a yellow sash,dress,,
78,3967,a woman in a pink top and jeans,top,,
79,2654,a woman wearing a green and red leli,leli,,
80,3461,black and gold embroidered dupa,dupa,,
81,1906,a woman wearing a white blouse with a red flower print,blouse,,
82,2654,red printed kurti kurti kurti kurti kurt,kurti,,
83,2154,a woman wearing a black sweater with a flower embroidered on the back,sweater,,
84,1930,white and green embroidered kurti suit,kurti,,
85,1685,mustard yellow printed vest,vest,,
86,3352,the basic short sleeve tee in mustard,tee,,
87,958,a woman with braid hair,,,
88,2544,a woman wearing a brown sweater and black pants,sweater,,
89,1400,purple embroidered kurti suit,kurti,,
